CROP_YEAR,STATE_CODE,STATE_ABBR,COUNTY_CODE,COUNTY_NAME,CROP_CODE,CROP_NAME,INSURANCE_PLAN_CODE,INSURANCE_PLAN_NAME,STAGE_CODE,COVERAGE_TYPE,COVERAGE_LEVEL,POLICIES_SOLD,POLICIES_EARNING_PREMIUM,POLICIES_INDEMNIFIED,UNITS_EARNING_PREMIUM,UNITS_INDEMNIFIED,QUANTITY_TYPE,NET_REPORTED_QUANTITY,COMPANION_QUANTITY,LIABILITY,TOTAL_PREMIUM,PRODUCER_PREMIUM,SUBSIDY,STATE_SUBSIDY,ADDITIONAL_SUBSIDY,INDEMNITY,LOSS_RATIO
2023,38,ND,55,Mclean                        ,41,Corn                          ,2,RP        ,A    ,RBUP,0.75,200,106,32,143,35,Acres                    ,54031.0,0,28456046.0,2737476.0,2040124,0,0,0,1274695.0,0.4656460915091128
2023,27,MN,149,Stevens                       ,41,Corn                          ,2,RP        ,A    ,RBUP,0.75,152,127,24,170,26,Acres                    ,48493.0,0,42480932.0,2035572.0,1465871,0,0,0,503470.0,0.2473358839677496
2023,46,SD,13,Brown                         ,11,Wheat                         ,17,MP-HPO    ,A    ,RBUP,0.95,3,3,0,3,0,Acres                    ,0.0,789,418145.0,52155.0,22948,0,0,0,0.0,0.0
2023,48,TX,275,Knox                          ,21,Cotton                        ,1,YP        ,C    ,RCAT,0.5,2,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,17,IL,11,Bureau                        ,81,Soybeans                      ,17,MP-HPO    ,A    ,RBUP,0.9,2,2,0,2,0,Acres                    ,0.0,68,44277.0,2269.0,999,0,0,0,0.0,0.0
2023,48,TX,149,Fayette                       ,41,  Corn   ,2,RP        ,A    ,RBUP,0.75,14,10,1,18,2,Acres                    ,4043.0,0,1904805.0,320240.0,234143,0,0,0,13860.0,0.043280039970022485
2023,38,ND,59,Morton                        ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.5,4,2,0,2,0,Acres                    ,215.0,0,43709.0,9999999999.0,3755,0,0,0,0.0,0.0
2023,17,IL,71,Henderson                     ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.8,148,108,13,134,15,Acres                    ,17530.0,0,11914033.0,600680.0,375183,100,0,0,110756.0,0.18438436438702804
2023,17,IL,107,Logan                         ,81,Soybeans                      ,32,SCO-RP    ,A    ,RBUP,0.5,1,1,0,1,0,Acres                    ,0.0,302,61255.0,1984.0,1290,0,0,0,0.0,0.0
2023,27,MN,19,Carver                        ,81,Soybeans                      ,2,RP        ,A    ,RBUP,,58,39,5,44,6,Acres                    ,6615.0,0,3961881.0,233851.0,170313,0,0,0,21023.0,0.0898991238010528
2023,20,KS,91,johnson                       ,41,Corn                          ,32,SCO-RP    ,A    ,RBUP,0.75,2,2,0,9,0,Acres                    ,0.0,821,79535.0,32308.0,21000,0,0,0,0.0,0.0
2023,31,NE,185,York                          ,41,CORN                          ,2,RP        ,A    ,RBUP,0.6,11,12,7,108,30,Acres                    ,6812.0,0,5543944.0,122243.0,76778,0,0,0,195835.0,1.6020140212527507
2023,17,IL,149,Pike                          ,41,Corn                          ,3,RPHPE     ,A    ,RBUP,0.85,5,2,2,12,6,Acres                    ,1329.0,0,1308518.0,119979.0,45593,0,0,0,37288.0,0.3107877211845406
2023,18,IN,131,Pulaski                       ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.7,2,1,0,1,0,Acres                    ,21.0,0,9316.0,1196.0,706,0,0,0,0.0,0.0
2023,46,SD,45,Edmunds                       ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.8,150,133,89,138,90,Acres                    ,79724.0,0,35059967.0,4869560.0,3299768,0,0,0,2207516.0,0.4533296642817832
2023,46, SD,35,Davison                       ,41,Corn                          ,2,RP        ,A    ,RBUP,0.65,17,9,0,10,0,Acres                    ,515.0,0,338047.0,44330.0,27118,0,0,0,0.0,0.0
2023,31,NE,135,Perkins                       ,11,,1,YP        ,A    ,RBUP,0.75,6,4,1,9,1,Acres                    ,811.0,0,202163.0,25219.0,14251,0,0,0,31695.0,1.2567905150878307
2023,39,OH,39,Defiance                      ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.65,13,1,0,1,0,Acres                    ,37.0,0,16060.0,2236.0,1319,0,0,0,0.0,0.0
2023,19,Ia,151,,81,Soybeans                      ,32,SCO-RP    ,A    ,RBUP,0.75,4,4,0,12,0,Acres                    ,0.0,869,75131.0,15859.0,10309,0,0,0,0.0,0.0
2023,20,KS,49,  Elk    ,11,Wheat                         ,32,SCO-RP    ,A    ,RBUP,0.75,6,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,18,IN,81,Johnson                       ,41,Corn                          ,1,YP        ,A    ,RBUP,0.85,1,1,0,1,0,Acres                    ,19.0,0,14206.0,858.0,326,0,0,0,0.0,0.0
2023,20,KS,189,Stevens                       ,41,Corn                          ,2,RP        ,A    ,RBUP,0.65,38,13,8,41,9,Acres                    ,4745.0,0,3648926.0,163461.0,97656,0,0,0,80541.0,0.4927230348523501
2023,17,IL,7,Boone                         ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.5,1,1,0,1,0,Acres                    ,216.0,0,75667.0,579.0,388,0,0,0,0.0,0.0
2023,46,SD,111,Sanborn                       ,11,wheat                         ,2,RP        ,A    ,RBUP,0.75,59,6,6,7,7,Acres                    ,417.0,0,138477.0,24947.0,18531,0,0,0,90270.0,3.618471158856776
2023,20,KS,127,Morris                        ,81,Soybeans                      ,16,MP        ,A    ,RBUP,0.95,1,1,1,1,1,Acres                    ,0.0,93,41403.0,4818.0,2120,0,0,0,10455.0,2.1699875466998755
2023,31,NE,93,howard                        ,41,Corn                          ,32,SCO-RP    ,A    ,RBUP,0.85,1,1,1,2,2,Acres                    ,0.0,75,929.0,307.0,199,0,0,0,129.0,0.4201954397394137
2023,46,SD,99,Minnehaha                     ,41,Corn                          ,2,RP        ,A    ,RBUP,0.8,211,174,112,194,120,Acres                    ,47574.0,0,44226852.0,3774389.0,2517223,0,0,0,3622969.0,0.9598822484910803
2023,27,MN,111,Otter Tail                    ,11,Wheat                         ,1,YP        ,A    ,RBUP,0.7,5,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,20,KS,151,Pratt                         ,21,Cotton                        ,2,RP        ,A    ,RBUP,0.7,136,22,12,96,57,Acres                    ,7391.0,0,3974369.0,675482.0,399363,0,0,0,995541.0,1.4738231366638934
2023,31,NE,79,Hall                          ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.8,5,3,2,4,2,Acres                    ,474.0,0,195328.0,27211.0,13060,0,0,0,46418.0,1.705854250119437
2023,18,IN,23,Clinton                       ,41,Corn                          ,31,SCO-YP    ,A    ,RBUP,0.7,1,1,0,1,0,Acres                    ,0.0,122,25604.0,1759.0,1143,0,0,0,0.0,0.0
2023,17,IL,79,Jasper                        ,41,MAIZE,1,YP        ,A    ,RBUP,0.85,1,1,0,1,0,Acres                    ,188.0,0,152703.0,11377.0,6030,0,0,0,0.0,0.0
2023,20,KS,29,Cloud                         ,81,Soybeans                      ,3,RPHPE     ,A    ,RBUP,0.65,1,1,1,1,1,Acres                    ,16.0,0,5879.0,419.0,247,0,0,0,3862.0,9.217183770883056
2023,27,MN,147,Steele                        ,81,Soybeans                      ,88,ECO-RP    ,A    ,RBUP,0.9,2,2,2,5,5,Acres                    ,0.0,177,5431.0,2107.0,927,0,0,0,1511.0,0.7171333649738966
